Customer_ID,Customer_Name,Age,Gender,Annual_Income,Spending_Score,Marital_Status,Product_Category,Years_as_Customer,Number_of_Orders,Average_Order_Value,Loyalty_Membership,Discount_Usage,Preferred_Payment_Method,Preferred_Delivery_Option,Device_Used,Last_Activity,Customer_Region,Review_Score,Customer_Segment
1,Michelle Charles,69,0,192704,60,1,Fashion,8,78,182.4,1,0,PayPal,Standard,Tablet,33,Asia,2,0
2,Kaylee Medina,62,0,165578,36,1,Sports,7,25,342.85,1,1,Credit Card,Standard,Desktop,307,Europe,4,1
3,Ronald Hoffman,52,0,66523,46,0,Home,4,68,275.57,1,0,Debit Card,Same-Day,Tablet,131,Asia,2,0
4,Sandra Mcguire,56,1,193559,83,0,Sports,5,88,97.62,1,1,Net Banking,Standard,Mobile,185,North America,1,1
5,Andrew Mcdonald,56,0,57461,60,0,Sports,5,86,438.02,0,1,Net Banking,Same-Day,Desktop,29,South America,2,0
6,Haley Thomas,19,1,87200,67,0,Beauty,9,35,99.03,0,0,PayPal,Same-Day,Tablet,342,South America,2,2
7,Tyler Taylor,29,0,102926,25,0,Beauty,6,2,407.34,1,1,Debit Card,Same-Day,Tablet,283,Asia,5,2
8,Jeremy Lyons,18,0,184826,40,0,Electronics,3,17,765.88,1,1,Net Banking,Standard,Tablet,187,North America,3,1
9,Joshua Vang,43,1,42447,45,1,Home,12,47,880.09,1,1,PayPal,Same-Day,Desktop,71,Europe,5,0
10,Paula Kelly,55,1,62935,78,1,Electronics,7,31,841.14,0,1,Credit Card,Express,Desktop,129,Asia,4,1
11,Timothy Webster,43,1,117590,55,0,Home,14,84,893.93,0,1,Credit Card,Standard,Mobile,315,South America,3,0
12,Alyssa Barr,26,1,193483,38,0,Fashion,1,21,106.81,0,1,Debit Card,Same-Day,Desktop,224,North America,5,0
13,Joshua Rowland PhD,67,1,32738,40,1,Electronics,9,90,201.26,0,1,Debit Card,Same-Day,Desktop,209,South America,2,0
14,John Patterson,42,0,37266,6,0,Fashion,11,67,875.42,1,0,Net Banking,Same-Day,Mobile,202,Asia,4,0
15,Jacob Bauer,53,1,186910,86,0,Fashion,11,82,688.05,1,0,Net Banking,Standard,Mobile,214,Europe,1,0
16,Christopher Smith,58,1,62022,84,1,Electronics,6,43,545.97,0,0,Credit Card,Standard,Mobile,247,Asia,5,0
17,Maxwell Hamilton,27,0,197628,92,1,Beauty,2,99,813.03,1,0,PayPal,Standard,Desktop,195,North America,3,1
18,Sean Greene,32,1,161713,16,0,Beauty,2,73,721.84,1,1,Credit Card,Standard,Tablet,234,North America,4,1
19,Craig Rodriguez,40,1,36368,72,0,Beauty,7,63,412.64,0,0,Debit Card,Standard,Tablet,40,North America,1,0
20,Christopher Moore,35,1,124247,17,1,Home,13,44,561.91,1,1,Net Banking,Express,Desktop,146,North America,5,0
21,Wayne Hays,52,1,56865,60,1,Sports,11,29,328.89,1,0,PayPal,Express,Tablet,94,Asia,3,1
22,Roger Bentley,62,0,62711,72,0,Electronics,11,17,415.47,1,0,PayPal,Express,Mobile,126,South America,5,1
23,Tara Jackson,29,0,66379,7,1,Beauty,10,91,117.76,0,0,Credit Card,Same-Day,Mobile,240,Europe,3,0
24,Tiffany Lee,67,1,86843,36,0,Home,10,42,443.49,1,0,Debit Card,Standard,Mobile,261,Europe,5,2
25,Timothy Richards,36,0,123840,83,0,Beauty,3,79,891.42,0,0,Net Banking,Same-Day,Desktop,141,North America,3,2
26,Paige Chase,37,1,76846,30,1,Electronics,12,24,179.19,1,0,Credit Card,Standard,Tablet,156,North America,2,1
27,Thomas Walter,50,1,123873,35,1,Home,8,74,542.14,0,0,Net Banking,Standard,Tablet,83,Asia,1,0
28,David Hall,65,1,149023,84,1,Home,9,88,742.73,1,0,Net Banking,Express,Tablet,6,North America,1,1
29,Deborah Pitts,64,1,61185,61,0,Home,12,66,696.09,1,0,Debit Card,Express,Mobile,351,North America,3,2
30,Laura Long,69,1,149597,22,0,Beauty,12,61,529.15,1,0,Credit Card,Same-Day,Desktop,140,North America,5,2
31,Thomas Woods,57,1,104416,66,1,Home,7,99,301.18,0,1,PayPal,Express,Tablet,161,Europe,1,2
32,Lisa Wilson,21,0,121582,63,0,Beauty,12,66,536.15,1,1,PayPal,Standard,Tablet,63,North America,3,1
33,Norman Martinez,43,0,50262,79,0,Home,10,70,538.27,1,0,Credit Card,Express,Mobile,335,Europe,3,1
34,Anna Smith,42,1,180653,46,0,Fashion,1,7,114.71,0,1,Debit Card,Same-Day,Tablet,337,North America,4,2
35,Allison Chambers,25,0,95118,80,1,Fashion,1,2,623.35,0,1,Credit Card,Same-Day,Tablet,355,North America,2,0
36,Jerry Barnett,42,0,123434,31,1,Sports,12,38,806.53,0,1,Credit Card,Same-Day,Mobile,149,Asia,1,0
37,Anthony Young,38,1,104698,61,1,Electronics,7,12,766.02,1,0,Credit Card,Standard,Tablet,260,Europe,5,2
38,Jessica Spencer,29,0,43629,81,0,Home,1,85,225.76,0,1,Net Banking,Same-Day,Mobile,80,Europe,5,1
39,James Walters,38,1,107725,18,0,Fashion,1,48,564.96,1,0,Credit Card,Express,Mobile,173,South America,1,2
40,Benjamin Flores,39,0,117625,49,0,Sports,4,43,862.85,1,0,Debit Card,Standard,Mobile,125,North America,5,2
41,Emily Evans,37,1,52792,54,1,Beauty,3,99,367.56,0,0,PayPal,Express,Mobile,275,North America,4,0
42,Hannah White,21,0,75602,77,0,Beauty,13,94,784.13,1,0,Debit Card,Express,Tablet,22,Europe,4,0
43,Tina Torres,66,1,180835,78,0,Fashion,10,70,713.11,1,0,Debit Card,Standard,Tablet,144,Asia,2,0
44,Christine Hill,18,1,175657,93,0,Sports,11,88,727.86,1,1,Net Banking,Standard,Mobile,283,Asia,3,1
45,Matthew Bush,31,0,176887,10,1,Beauty,9,46,889.96,1,1,Debit Card,Same-Day,Mobile,244,North America,3,2
46,Misty Thomas,41,1,128464,81,1,Beauty,14,77,975.03,0,0,Credit Card,Express,Tablet,307,South America,4,2
47,Sarah Bauer,33,0,102013,7,0,Electronics,9,92,70.28,1,1,Credit Card,Standard,Tablet,314,Asia,2,1
48,Antonio Ortega,31,0,94129,37,0,Beauty,9,83,942.55,0,0,Net Banking,Standard,Desktop,120,Asia,5,0
49,Michael Dickerson,20,1,95280,79,0,Home,10,4,747.57,1,1,Debit Card,Same-Day,Tablet,62,Asia,5,2
50,Darryl Reyes,59,1,39563,91,1,Home,2,32,284.88,1,0,PayPal,Same-Day,Mobile,173,Asia,3,2
51,Willie Browning,53,1,24775,23,1,Home,2,13,728.47,1,0,Credit Card,Express,Mobile,72,South America,3,2
52,Stephen Briggs,31,1,88365,78,0,Home,13,32,294.09,0,1,PayPal,Express,Desktop,182,North America,4,0
53,Michael Miller,59,1,152756,61,1,Home,8,88,432.08,0,1,PayPal,Same-Day,Desktop,227,Asia,5,1
54,Michael Walker,57,0,60836,71,0,Sports,8,15,245.39,0,1,Credit Card,Same-Day,Tablet,133,Europe,3,2
55,Kimberly Mitchell,28,1,119576,38,0,Sports,14,69,181.35,0,1,Net Banking,Standard,Desktop,305,South America,3,1
56,Stephen Garcia,35,1,161433,6,1,Sports,13,17,55.38,1,1,PayPal,Standard,Desktop,351,South America,4,2
57,Melinda Scott,25,1,163791,74,1,Home,4,36,712.48,0,0,Net Banking,Standard,Mobile,207,North America,5,0
58,Anita Berry,21,1,50614,80,0,Electronics,7,40,7.79,0,1,Debit Card,Standard,Mobile,136,North America,3,0
59,Mary Hawkins,31,0,184981,45,1,Fashion,5,44,792.76,0,1,Net Banking,Standard,Mobile,36,South America,1,0
60,Diana Anderson,65,1,154428,99,0,Sports,4,1,328.89,1,0,Net Banking,Same-Day,Mobile,78,Asia,1,2
61,Mary Alexander,32,1,46242,36,0,Beauty,5,90,259.87,1,1,Credit Card,Same-Day,Tablet,278,North America,4,0
62,Tyrone Lee,61,0,119462,67,0,Beauty,12,18,730.17,0,1,Net Banking,Standard,Mobile,1,North America,5,1
63,Douglas Murphy,60,0,192407,42,1,Fashion,7,21,993.3,1,1,PayPal,Same-Day,Tablet,81,North America,2,2
64,Darryl Wilson MD,27,0,76233,54,1,Home,3,76,956.88,1,0,Debit Card,Same-Day,Mobile,59,South America,5,2
65,Nathan Williams,26,0,69376,47,1,Beauty,1,58,839.42,1,0,PayPal,Standard,Desktop,337,Europe,3,1
66,Ryan Haas,34,0,51515,83,1,Beauty,4,85,559.01,1,1,Credit Card,Standard,Mobile,12,North America,4,0
67,Barbara Moreno,34,0,172165,22,1,Home,11,21,874.0,0,0,Net Banking,Express,Desktop,6,North America,2,1
68,Sharon Smith,27,0,73562,25,0,Home,13,66,644.53,0,1,Credit Card,Express,Mobile,349,South America,1,0
69,Lori Rojas,48,0,127938,80,1,Beauty,7,23,496.53,0,1,PayPal,Express,Mobile,257,Asia,3,1
70,Sara Walton,41,0,25770,46,1,Home,14,20,85.52,0,0,Debit Card,Same-Day,Tablet,117,South America,1,0
71,John Williamson,63,0,143311,92,1,Beauty,5,53,958.09,1,1,PayPal,Standard,Mobile,303,South America,1,1
72,Kathryn Short,23,0,40758,71,0,Sports,14,7,162.29,1,0,Net Banking,Express,Mobile,89,South America,1,2
73,Christopher Branch,66,0,117871,2,0,Home,6,40,416.98,0,0,Credit Card,Standard,Mobile,56,Asia,3,0
74,Bonnie Wright,19,1,31420,87,0,Fashion,10,16,607.13,1,0,Debit Card,Express,Tablet,183,North America,1,1
75,Adam Shaw,49,0,152318,22,1,Electronics,9,50,537.96,1,0,Credit Card,Express,Mobile,99,South America,4,1
76,Benjamin Marquez,63,1,90783,4,1,Electronics,7,84,902.56,1,0,Debit Card,Standard,Mobile,103,North America,1,0
77,Leah Franklin,19,1,147580,54,0,Beauty,12,34,645.63,1,0,Credit Card,Same-Day,Mobile,162,Asia,4,0
78,Tamara Schroeder,67,1,127322,42,0,Sports,4,8,888.46,0,0,Net Banking,Standard,Mobile,330,Europe,5,2
79,Randy Bailey,60,1,196010,48,1,Home,14,26,924.45,0,0,Debit Card,Same-Day,Mobile,82,North America,4,0
80,Dr. Christopher Hernandez MD,42,1,52485,24,0,Fashion,14,91,937.72,1,0,Credit Card,Same-Day,Mobile,156,North America,1,0
81,Lindsay Mathews,28,0,21965,51,1,Electronics,5,63,44.71,0,0,Debit Card,Standard,Desktop,266,Asia,5,0
82,Lisa Rodriguez,26,1,162330,10,0,Electronics,11,89,121.28,1,1,PayPal,Express,Tablet,290,Asia,2,0
83,Susan Chan,47,1,84297,44,1,Home,1,67,245.2,0,0,Credit Card,Standard,Tablet,51,South America,1,1
84,Steven Davidson,28,1,44572,95,1,Sports,5,72,497.36,1,1,Debit Card,Standard,Desktop,152,Europe,1,2
85,Ellen Cohen,54,1,126235,90,1,Home,4,81,758.06,0,0,Credit Card,Same-Day,Mobile,26,Asia,3,1
86,Keith Hill,54,1,78878,13,1,Electronics,10,62,722.25,1,0,Credit Card,Same-Day,Tablet,235,South America,4,0
87,David Henderson,39,0,33213,98,1,Electronics,4,18,874.29,1,0,PayPal,Express,Desktop,321,North America,1,2
88,Daniel Garcia,37,1,89384,46,0,Home,4,4,327.86,1,0,Debit Card,Standard,Desktop,296,North America,3,1
89,Jeffrey Dickerson,50,0,27331,76,0,Home,8,37,30.12,0,0,PayPal,Same-Day,Desktop,269,Europe,4,0
90,Megan Cox,29,1,177639,100,0,Beauty,13,47,814.36,1,0,Credit Card,Standard,Mobile,189,South America,4,1
91,Elizabeth Adams,23,0,111721,56,1,Sports,6,79,471.39,1,1,Credit Card,Standard,Mobile,113,Europe,1,2
92,Henry Sparks,49,0,171810,96,0,Electronics,9,17,685.09,1,0,Credit Card,Express,Mobile,110,Europe,2,0
93,Matthew Elliott,69,0,119024,55,1,Fashion,14,7,429.62,0,1,Net Banking,Same-Day,Desktop,4,Europe,1,0
94,Darren Decker,68,0,69919,25,0,Home,8,56,444.96,0,0,Net Banking,Standard,Desktop,354,Asia,4,0
95,Michael Moore,27,0,66365,32,0,Fashion,7,52,351.25,1,0,Credit Card,Standard,Desktop,350,South America,2,1
96,Justin Williams,22,0,193286,16,0,Sports,14,51,379.8,0,0,Credit Card,Same-Day,Mobile,244,North America,5,2
97,Rebecca Hinton,20,1,41007,26,0,Sports,14,91,42.84,1,0,Net Banking,Standard,Tablet,253,North America,2,1
98,Jacob Horton,69,0,20111,79,0,Sports,2,97,571.81,0,1,Net Banking,Standard,Mobile,53,North America,3,0
99,Alexander Miller,44,1,113680,82,0,Electronics,11,43,808.0,0,1,Net Banking,Same-Day,Tablet,164,Europe,2,2
100,Shannon Proctor,64,1,108490,35,1,Fashion,6,37,357.3,0,1,Net Banking,Standard,Tablet,72,Europe,5,2
101,Robert Griffin,66,1,75904,45,1,Fashion,8,96,448.48,1,1,Debit Card,Standard,Mobile,263,Europe,4,1
102,Ronald Salazar,63,1,91484,73,0,Beauty,11,51,160.64,1,1,Debit Card,Same-Day,Desktop,315,South America,5,0
103,Crystal Cook,46,0,70629,13,0,Sports,4,38,955.07,1,1,PayPal,Express,Mobile,93,South America,1,1
104,Nicole Lopez,22,0,179776,96,1,Fashion,12,18,396.7,0,1,Debit Card,Express,Desktop,294,South America,3,0
105,Joanne Duncan,38,0,41410,13,1,Electronics,1,77,967.06,1,1,Net Banking,Same-Day,Mobile,193,Europe,4,0
106,Matthew Paul,46,0,53063,71,0,Electronics,12,54,454.42,1,0,Credit Card,Standard,Desktop,26,Europe,5,2
107,Mrs. Hannah Green DVM,59,1,172330,66,1,Fashion,6,35,711.88,0,0,PayPal,Standard,Mobile,164,North America,2,0
108,Melinda Holt,46,0,189025,28,0,Home,10,33,311.06,1,1,Credit Card,Same-Day,Desktop,58,North America,2,0
109,Brandon West,59,1,34652,96,0,Beauty,4,94,581.02,0,1,Net Banking,Same-Day,Desktop,27,North America,1,2
110,Whitney Smith,53,0,54269,81,1,Home,11,18,471.76,0,0,Credit Card,Same-Day,Mobile,200,Europe,3,0
111,Alexis French,36,0,55071,89,0,Beauty,2,27,421.22,1,1,Credit Card,Same-Day,Tablet,212,South America,3,0
112,Sierra Lopez,22,1,107922,95,1,Sports,13,21,559.74,1,1,Net Banking,Express,Desktop,50,Asia,5,0
113,Michele Sandoval,51,0,55950,71,0,Home,6,13,664.44,0,0,Credit Card,Express,Mobile,98,North America,1,1
114,Rhonda Oconnor,66,0,76578,67,0,Sports,2,77,111.66,0,1,Debit Card,Same-Day,Mobile,186,North America,3,0
115,Michael King,34,1,157175,39,0,Sports,5,95,307.38,0,1,Debit Card,Express,Desktop,124,South America,4,2
116,Kelli Mack,25,0,118737,2,1,Electronics,2,99,577.64,1,0,PayPal,Same-Day,Desktop,304,South America,5,2
117,Barbara James,21,0,193969,12,1,Beauty,9,29,629.5,0,0,Net Banking,Same-Day,Tablet,347,Europe,4,2
118,Melanie Jones,30,0,98705,56,0,Home,3,14,340.86,0,0,Debit Card,Standard,Desktop,196,North America,2,0
119,Lisa Little,54,1,53875,53,0,Home,13,52,147.38,0,0,Debit Card,Standard,Mobile,102,South America,2,0
120,Christine West,27,1,89016,88,0,Electronics,11,57,616.81,0,1,PayPal,Express,Desktop,246,North America,4,0
121,Michael Johnson,49,1,170431,95,0,Beauty,13,77,6.68,1,0,Credit Card,Express,Desktop,24,North America,1,0
122,Donald Stephens,41,0,91183,14,0,Sports,13,47,480.13,0,0,Credit Card,Same-Day,Tablet,125,South America,5,2
123,Susan Payne,47,1,63604,73,0,Home,8,25,831.86,1,0,Credit Card,Express,Tablet,351,Europe,4,0
124,Jason Garcia,51,1,154264,35,0,Sports,2,2,588.0,0,1,PayPal,Same-Day,Tablet,25,Asia,3,1
125,Christopher Brady,32,0,110854,29,1,Home,1,9,332.76,0,1,Debit Card,Express,Mobile,312,Europe,5,2
126,Ashley Garcia,19,1,75568,97,0,Sports,10,46,864.48,0,1,Debit Card,Standard,Mobile,252,Asia,5,0
127,Holly Brown,60,1,144392,82,1,Electronics,4,85,56.06,0,1,Credit Card,Express,Tablet,253,South America,3,0
128,Jessica Young,42,0,25796,100,1,Beauty,1,65,961.57,1,0,Net Banking,Standard,Tablet,137,South America,5,1
129,Tina Guerra,59,0,94693,22,0,Sports,9,85,837.79,1,1,Net Banking,Same-Day,Mobile,59,Europe,5,2
130,Gregory Carrillo,29,0,55373,77,0,Fashion,5,64,488.35,1,0,PayPal,Express,Tablet,285,North America,3,0
131,Sandra Harris,42,0,162526,96,0,Beauty,12,51,142.14,0,1,Debit Card,Express,Tablet,31,Asia,1,1
132,Peter Walters,57,1,191084,7,1,Sports,10,69,211.39,1,1,Net Banking,Express,Tablet,285,North America,5,2
133,Ian Booth,21,1,185834,5,1,Home,4,80,965.91,0,1,Debit Card,Same-Day,Tablet,125,Europe,5,1
134,Bryan Rodriguez,46,0,198370,25,1,Fashion,7,81,211.41,0,1,Debit Card,Express,Desktop,338,Asia,2,1
135,Gloria Li,18,0,22737,47,1,Fashion,4,40,478.73,1,0,Credit Card,Express,Desktop,252,South America,3,0
136,Micheal Moore,32,0,62770,19,0,Beauty,1,95,320.76,1,0,Debit Card,Express,Mobile,89,Europe,5,0
137,John Woods,65,1,122326,6,1,Electronics,3,19,930.35,0,1,Debit Card,Express,Desktop,103,North America,5,0
138,Cassandra Ritter,37,0,193369,97,0,Sports,12,49,395.99,1,0,Net Banking,Express,Tablet,47,Europe,4,0
139,Nicholas Crawford,25,1,28802,64,1,Beauty,14,47,199.39,0,0,Debit Card,Same-Day,Mobile,34,North America,3,1
140,Jacqueline Eaton,62,1,93849,42,0,Electronics,14,32,89.39,1,0,Credit Card,Standard,Tablet,101,South America,5,2
141,Nicholas Scott,18,0,73740,45,0,Fashion,7,93,179.36,0,0,Net Banking,Express,Tablet,158,North America,4,2
142,Barbara Campbell,32,0,72271,99,0,Electronics,7,69,503.03,1,0,Debit Card,Standard,Desktop,155,Asia,3,0
143,Joel Edwards,37,0,67710,43,0,Electronics,4,56,496.78,0,0,PayPal,Same-Day,Mobile,144,North America,4,0
144,Brian Marquez,67,0,121127,9,1,Electronics,14,54,568.46,1,0,Net Banking,Standard,Tablet,33,North America,2,2
145,Martin Solis,39,0,69715,6,1,Home,12,98,773.27,1,1,Debit Card,Same-Day,Desktop,166,South America,2,1
146,Teresa Miller,33,1,185963,15,0,Fashion,1,36,512.5,0,0,Credit Card,Express,Desktop,209,Europe,3,2
147,Kathleen Chambers,60,1,174561,73,1,Electronics,13,70,363.52,1,0,Credit Card,Same-Day,Mobile,299,Europe,5,0
148,Bruce Buckley,67,1,193933,86,0,Fashion,11,75,191.22,1,0,Credit Card,Standard,Mobile,326,Europe,3,2
149,Norman Dalton,44,0,69895,27,1,Electronics,12,69,213.42,0,0,Debit Card,Express,Tablet,32,South America,4,0
150,Eric Meyer,56,1,111388,74,1,Electronics,2,36,755.89,1,0,Net Banking,Standard,Mobile,265,Europe,1,2
151,Sarah Stout,21,1,170739,64,0,Sports,14,54,302.81,1,1,PayPal,Express,Tablet,350,Asia,2,0
152,Cameron King,30,0,188085,2,1,Fashion,2,27,190.86,0,1,Debit Card,Same-Day,Desktop,95,South America,2,2
153,James Green,62,1,199328,12,0,Electronics,1,56,383.17,0,1,Credit Card,Standard,Tablet,3,North America,3,0
154,Kelly Brown,29,0,73459,13,1,Sports,4,41,348.41,0,1,PayPal,Standard,Mobile,14,North America,5,0
